Stk Code,,,,,,,,Product Description,,,,,,,,,,,SUN,,,,MON,,,TUE,,WED,,,THU,,,FRI,,,,SAT,,,Total,,,,,Value,,,,Cost,,,Profit,,,In Stk,,,On Ord,,,%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,1-GROCERY NON VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BLOOME ROSE GARDEN CANDLE,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.69,,,,1.490,,,0.20,,,-24,,,0,,11.83,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WRIGLEYS EXTRA W/MELON,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,0.85,,,,0.590,,,0.26,,,-220,,,0,,30.59,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NESCAFE 3 IN 1 ORIGINAL,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-195,,,0,,20.00,,
,,,,,,,,JACK'S DOG - BEEF IN GRAVY TIN,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.99,,,,0.790,,,0.20,,,-15,,,0,,20.20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS LONG GRAIN RICE 500G,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-42,,,0,,15.50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SALSA SAUCE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,2.25,,,,2.050,,,0.20,,,-5,,,0,,8.89,,
,,,,,,,,ES ORANGEADE,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,0.40,,,,0.200,,,0.20,,,-41,,,0,,50.00,,
,,,,,,,,PAW PATROL CUP CAKE,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,2.59,,,,1.750,,,0.84,,,-34,,,0,,32.55,,
,,,,,,,,JACK'S BLACKCURRANT JAM,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.60,,,,1.400,,,0.20,,,-7,,,0,,12.50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BAKER STREET JUMBO HOT DOG ROLLS,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.19,,,,1.990,,,0.20,,,-40,,,0,,9.13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACK'S FRESH LINEN FABRIC CONDITION,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-80,,,0,,15.50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WALKERS S&V,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,0.85,,,,0.650,,,0.20,,,-1,,,0,,23.53,,
,,,,,,,,COCA COLA CHERRY FLOAT,,,,,,,,330ml,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-9,,,0,,15.50,,
,,,,,,,,JACKS APPLE JUICE,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-1,,,0,,13.42,,
,,,,,,,,YORKSHIRE TEA,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,3.99,,,,3.790,,,0.20,,,-7,,,0,,5.01,,
,,,,,,,,TETLEY TEA BAGS 80 PACK,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,3.35,,,,3.150,,,0.20,,,-32,,,0,,5.97,,
,,,,,,,,FOXS ROUNDS,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.29,,,,2.090,,,0.20,,,-13,,,0,,8.73,,
,,,,,,,,BARR CREAM SODA 2L,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.39,,,,1.190,,,0.20,,,-1,,,0,,14.39,,
,,,,,,,,GOLDENFRY CORNFLOUR,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.99,,,,0.790,,,0.20,,,-1,,,0,,20.20,,
,,,,,,,,COOLMORE LEMON CAKE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-1,,,0,,6.69,,
,,,,,,,,KOKA BEEF 85G,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,0.69,,,,0.490,,,0.20,,,-3,,,0,,28.99,,
,,,,,,,,HARTLEYS JELLY RASPBERRY,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.90,,,,0.450,,,0.45,,,-15,,,0,,50.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WALKERS MAX FLAME GRILLED STEAK,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.35,,,,1.150,,,0.20,,,-47,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PRINCES FRUIT COCKTAIL WITH JUICE,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-4,,,0,,12.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DOLMIO LASAGNE CREAMY,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,2.19,,,,1.990,,,0.20,,,-4,,,0,,9.13,,
,,,,,,,,FLASH BATHROOM,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.49,,,,2.290,,,0.20,,,-22,,,0,,8.03,,
,,,,,,,,PAPER CUPS 8PK,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-6,,,0,,13.42,,
,,,,,,,,COTTON WOOL PLEATS,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.89,,,,1.690,,,0.20,,,-11,,,0,,10.58,,
,,,,,,,,SURE WOMEN BRIGHT BOUQUET,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-23,,,0,,10.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,STERADENT ACTIVE PLUS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.09,,,,1.890,,,0.20,,,-43,,,0,,9.57,,
,,,,,,,,OH MY TISSUE 4PK.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-154,,,0,,20.00,,
,,,,,,,,HEINZ SPAGHETTI BOLOGNESE.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.20,,,,2.000,,,0.20,,,-46,,,0,,9.09,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ROBINSONS APPLE AND CURRANTS,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-35,,,0,,12.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BARR COLA,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-121,,,0,,20.00,,
,,,,,,,,BATCHELORS MARROWFAT BIGGA PEAS,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,0.89,,,,0.690,,,0.20,,,-47,,,0,,22.47,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FRAY BENTOS CHICKEN,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.69,,,,1.490,,,0.20,,,-4,,,0,,11.83,,
,,,,,,,,HEINZ BEANS SAUSAGE,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.20,,,,2.000,,,0.20,,,-23,,,0,,9.09,,
,,,,,,,,JOHNSONS BABY BATH,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.50,,,,1.300,,,0.20,,,-3,,,0,,13.33,,
,,,,,,,,ICE,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.89,,,,1.690,,,0.20,,,-4,,,0,,10.58,,
,,,,,,,,NF TROPICAL FRUIT,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.69,,,,1.490,,,0.20,,,-8,,,0,,11.83,,
,,,,,,,,GLADE RELAXING ZEN,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-2,,,0,,10.05,,
,,,,,,,,DOUBLE CHOCO MUFFIN,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-1,,,0,,12.58,,
,,,,,,,,PLENTY,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.49,,,,2.290,,,0.20,,,-5,,,0,,8.03,,
,,,,,,,,HIGHLAND SPRING STRAWBERRY,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.49,,,,0.630,,,0.87,,,-35,,,0,,58.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BRUSCHETTE CHIPS VEGETABLE,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.99,,,,0.790,,,0.20,,,-18,,,0,,20.20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS TIKKA MASALA,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-7,,,0,,13.42,,
,,,,,,,,MAYFLOWER CURRY SAUCE MIX,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-66,,,0,,10.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,POLO MINTS ORIGINAL,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,0.60,,,,0.400,,,0.20,,,-151,,,0,,33.33,,
,,,,,,,,GRENADE OREO,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,3.09,,,,2.490,,,0.60,,,-79,,,0,,19.42,,
,,,,,,,,JACOBS BITES SMOKED PAPRIKA.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.75,,,,1.550,,,0.20,,,-31,,,0,,11.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ES BLEACH,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,0.89,,,,0.690,,,0.20,,,-92,,,0,,22.47,,
,,,,,,,,COCA COLA ZERO SUGAR 2 LITRE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,2.29,,,,2.090,,,0.20,,,-118,,,0,,8.73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MAC B WATERMELON 500ML,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,0.89,,,,0.490,,,0.40,,,-727,,,0,,44.94,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JAMMIE DODGERS MINIS 6PK.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.090,,,0.40,,,-180,,,0,,26.85,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACK'S FUSILLI.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.19,,,,0.990,,,0.20,,,-72,,,0,,16.81,,
,,,,,,,,JAMMIE DODGERS RASPBERRY.,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-120,,,0,,15.50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7 PIECE STATIONERY,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.69,,,,1.290,,,0.40,,,-9,,,0,,23.67,,
,,,,,,,,WEBBOX CHICKEN CHUB ROLL,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,0.99,,,,0.690,,,0.30,,,-610,,,0,,30.30,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AROMA SOFT WHITE 4 ROLLS,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-633,,,0,,20.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS VEGETABLE SOUP,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.05,,,,0.850,,,0.20,,,-3,,,0,,19.05,,
,,,,,,,,WALKERS PRAWN COCKTAIL,,,,,,,,32.5g,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,0.99,,,,0.790,,,0.20,,,-8,,,0,,20.20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DORITOS GOLDEN,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.74,,,,2.790,,,-1.05,,,-5,,,0,,-60.34,,
,,,,,,,,DAILY CROISSANT STRAWBERRY.,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,0.79,,,,0.460,,,0.33,,,-475,,,0,,41.39,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CORNED BEEF,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-5,,,0,,6.69,,
,,,,,,,,MARYLAND SWICH,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-63,,,0,,15.50,,
,,,,,,,,E/S BABY WIPES,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.89,,,,0.690,,,0.20,,,-23,,,0,,22.47,,
,,,,,,,,GREANDE COOKIES & CREAM,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.99,,,,2.850,,,0.14,,,-28,,,0,,4.68,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IRN BRU 1901 2 LITRE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,3.25,,,,3.050,,,0.20,,,-13,,,0,,6.15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,238,,,316,,,,325,,347,,,362,,,370,,,236,,,,2194,,,,,"3,628.09",,,,"3,091.89",,,536.21,,,-154531,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,389.82,,,534.58,,,,514.43,,552.61,,,580.72,,,634.66,,,421.27,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,4-CANNED FRUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ONIONS 3PK,,,,,,,,,,,0,,,,1,,,2,,0,,,0,,2,,,,0,,,,,5,,,,8.95,,,,6.950,,,2.00,,,-979,,,0,,22.35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4-CANNED FRUIT,,,,,,,,,,,,,0,,,1,,,,2,,0,,,0,,,2,,,0,,,,5,,,,,8.95,,,,6.95,,,2.00,,,-979,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,0.00,,,1.79,,,,3.58,,0.00,,,0.00,,,3.58,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,6-BISCUITS VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MCVITIES DIGESTIVES.,,,,,,,,,,,0,,,,0,,,3,,1,,,0,,0,,,,0,,,,,4,,,,7.96,,,,6.360,,,0.27,,,-78,,,0,,4.12,,
,,,,,,,,LYONS VISCOUNT.,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,1,,,,1,,,,,3,,,,3.87,,,,2.670,,,0.56,,,-152,,,0,,17.21,,
,,,,,,,,MCVITIES COOKIES WHITE CHOC,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,1,,,,,2,,,,2.70,,,,1.900,,,0.35,,,-24,,,0,,15.56,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MCVITIES HOBNOB MILK CHOC,,,,,,,,,,,1,,,,0,,,0,,0,,,1,,0,,,,0,,,,,2,,,,3.76,,,,3.700,,,-0.57,,,-64,,,0,,-18.09,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MCVITIES RICH TEA.,,,,,,,,,,,0,,,,0,,,0,,1,,,1,,0,,,,0,,,,,2,,,,3.98,,,,3.180,,,0.14,,,-56,,,0,,4.12,,
,,,,,,,,RITZ ORIGINAL CRACKERS,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,1,,,,0,,,,,2,,,,2.98,,,,2.180,,,0.30,,,-149,,,0,,12.21,,
,,,,,,,,MCVITIES HOBNOBS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,2,,,,,2,,,,3.38,,,,2.580,,,0.24,,,-23,,,0,,8.40,,
,,,,,,,,FOXES CRUNCH CREAMS GOLDEN,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.090,,,0.15,,,-53,,,0,,12.21,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E/S DIGESTIVES,,,,,,,,400g,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.00,,,,0.600,,,0.23,,,-215,,,0,,28.00,,
,,,,,,,,PATERSONS SHORTBREAD FINGERS.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.090,,,0.15,,,-115,,,0,,12.21,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MCVITIES PENGUIN CARAMEL 7PK,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.79,,,,1.390,,,0.10,,,-15,,,0,,6.82,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6-BISCUITS VAT,,,,,,,,,,,,,1,,,1,,,,4,,6,,,2,,,3,,,4,,,,21,,,,,34.40,,,,26.74,,,1.93,,,-944,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,1.51,,,1.29,,,,7.46,,10.10,,,4.24,,,3.78,,,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,7-BISCUITS NONVAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E/S JAFFA CAKES,,,,,,,,300g,,,1,,,,0,,,2,,1,,,3,,0,,,,2,,,,,9,,,,18.81,,,,17.010,,,1.80,,,-175,,,0,,9.57,,
72698,,,,,,,,TUNNOCKS SNOWBALLS 4PK.,,,,,,,,,,,0,,,,3,,,1,,1,,,0,,0,,,,1,,,,,6,,,,8.94,,,,4.130,,,4.81,,,-1021,,,0,,53.83,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72699,,,,,,,,TUNNOCKS TEACAKES MILK CHOC 6PK.,,,,,,,,,,,0,,,,1,,,1,,3,,,0,,1,,,,0,,,,,6,,,,10.74,,,,7.400,,,3.34,,,-2989,,,0,,31.12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72700,,,,,,,,TUNNOCKS CARAMEL LOG 4PK,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,1,,,,0,,,,,2,,,,2.98,,,,1.550,,,1.43,,,-1146,,,0,,47.85,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72683,,,,,,,,TUNNOCKS CARAMEL WAFERS 4PK.,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.49,,,,1.000,,,0.49,,,-2250,,,0,,32.95,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7-BISCUITS NONVAT,,,,,,,,,,,,,1,,,5,,,,4,,5,,,4,,,2,,,3,,,,24,,,,,42.96,,,,31.09,,,11.87,,,-7581,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,2.09,,,7.75,,,,7.46,,8.95,,,7.76,,,3.28,,,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,13-CEREALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
